plotnr,Date,totalvolume,meandiameter,meanheight,treat
7,2021-07-23,62.82,29.47,4.6,I
4,2023-09-27,276.96,43.9,9.2,C
16,2020-10-31,131.94,38.03,24.06,F
9,2021-11-12,184.6,28.46,26.21,F
3,2022-04-17,247.51,44.07,19.04,F
5,2022-12-13,190.45,,16.19,F
3,2022-09-29,331.43,12.08,6.46,IL
7,2021-03-19,250.2,12.22,3.77,C
5,2021-09-04,300.42,20.03,5.29,I
9,2022-09-19,373.67,15.74,8.37,C
7,2020-09-20,287.72,46.85,11.57,IL
2,2022-12-12,301.54,9.76,12.67,F
4,2022-09-30,290.94,36.45,11.7,IL
9,2020-01-05,201.81,13.51,8.69,C
12,2023-01-31,181.97,44.67,16.27,I
14,2023-05-04,451.83,48.26,25.11,IL
2,2022-02-12,311.63,25.95,9.83,I
10,2022-05-26,137.29,,28.39,IL
9,2022-09-18,259.16,5.23,26.45,I
10,2022-06-02,178.57,41.9,6.53,I
5,2023-10-05,468.17,,24.02,F
2,2020-02-16,23.62,45.89,18.09,I
4,2022-05-16,128.16,,17.86,F
12,2022-04-02,195.37,30.03,,C
15,2022-07-24,254.15,39.05,16.03,C
12,2021-10-17,428.39,,,F
7,2020-09-25,62.19,13.69,17.11,F
12,2021-01-04,406.82,8.78,19.58,IL
13,2021-09-27,46.71,19.69,20.88,IL
8,2023-02-03,424.31,30.19,16.91,IL
15,2021-10-18,44.79,10.21,,C
3,2020-04-29,28.76,21.95,5.96,IL
14,2022-04-10,354.54,5.41,7.94,I
1,2022-12-17,498.68,41.84,24.92,I
4,2023-10-01,450.37,10.78,,IL
2,2022-01-10,296.48,17.75,,I
8,2020-04-26,460.35,5.83,6.31,C
4,2022-03-01,22.54,24.45,8.26,I
2,2023-02-24,488.03,42.81,28.81,C
14,2023-11-17,255.56,22.65,18.05,F
6,2022-10-09,366.99,13.08,28.12,F
6,2022-12-17,414.01,38.92,18.1,F
10,2021-09-25,364.86,40.5,,F
4,2021-05-27,276.82,12.82,10.78,I
6,2022-03-12,248.78,39.69,18.98,IL
13,2023-01-24,422.52,,5.9,I
15,2023-02-15,118.44,12.49,27.15,C
2,2021-07-13,484.64,39.69,25.22,I
10,2021-05-02,361.26,36.89,,I
12,2023-06-14,115.76,26.31,28.68,C
2,2022-06-15,373.4,7.61,25.11,F
10,2023-07-19,274.32,8.36,20.66,F
14,2023-04-27,359.47,43.36,5.41,F
4,2021-12-04,388.53,49.56,15.39,IL
14,2021-08-03,61.9,35.42,16.17,C
15,2022-02-28,262.93,,8.51,C
16,2022-05-10,467.37,34.14,4.24,I
15,2020-09-03,173.91,31.75,23.75,IL
8,2023-01-04,305.06,22.26,5.42,F
14,2020-06-02,197.23,7.95,18.64,IL
7,2023-12-29,238.05,41.97,,C
12,2022-09-23,283.33,21.73,26.53,C
9,2023-01-14,283.48,41.85,9.78,I
14,2021-11-27,116.83,16.36,25.84,I
8,2023-08-01,348.59,5.05,2.01,C
5,2023-05-28,62.18,,2.5,F
16,2022-12-28,86.64,,18.87,F
13,2022-12-06,21.3,47.49,12.21,IL
2,2022-10-05,76.01,9.6,12.82,C
15,2020-04-03,247.12,43.44,17.8,C
5,2022-08-15,310.93,28.72,7.37,F
8,2022-10-08,401.26,42.17,7.93,F
10,2021-03-28,71.22,18.43,15.57,C
9,2023-05-12,428.35,42.8,23.12,I
12,2022-06-30,378.07,39.78,19.35,C
12,2020-08-05,216.09,15.35,10.33,C
12,2021-04-18,467.81,,,F
13,2021-03-07,495.65,44.06,6.78,F
9,2020-12-06,118.4,48.35,4.09,I
13,2021-07-04,202.03,6.41,23.92,I
15,2023-08-05,464.7,37.91,9.43,IL
13,2023-07-01,366.37,45.93,6.98,C
1,2020-12-22,43.09,43.58,21.37,F
9,2020-01-23,395.13,48.4,19.31,I
7,2021-06-05,417.41,39.2,19.73,IL
9,2023-01-28,380.24,24.9,8.41,IL
8,2022-03-12,403.78,19.04,8.51,F
1,2023-04-18,416.06,,8.18,F
12,2023-05-31,109.47,37.6,6.87,IL
8,2022-01-31,133.13,38.56,20.36,I
8,2021-03-17,324.2,14.02,25.74,IL
15,2022-02-07,455.78,,22.28,C
11,2022-10-12,171.77,37.17,24.18,C
3,2023-09-10,302.39,30.32,13.33,F
1,2021-05-30,347.83,26.22,20.31,I
8,2022-11-05,236.94,29.45,11.92,I
3,2022-03-02,362.62,12.17,,C
3,2020-12-01,451.84,14.17,15.49,IL
1,2020-09-14,319.57,9.1,6.95,F
11,2021-05-11,279.09,11.91,12.84,IL
5,2022-06-14,230.6,25.42,28.99,IL
10,2020-06-08,297.19,28.87,8.96,IL
7,2022-05-01,190.57,5.8,5.75,I
10,2021-11-20,207.91,,13.72,C
9,2021-01-14,275.29,18.24,24.13,I
12,2022-08-14,51.98,46.03,18.3,C
7,2021-11-21,129.93,48.54,21.07,F
9,2023-12-21,280.57,13.35,7.31,F
8,2023-07-15,227.13,25.79,19.33,IL
12,2023-12-11,179.75,5.06,11.06,C
2,2023-04-06,370.66,31.92,25.36,C
1,2022-12-02,352.98,32.33,19.62,C
16,2020-10-11,100.03,16.14,7.57,IL
7,2021-01-31,441.74,30.13,3.81,IL
7,2020-01-12,257.8,15.15,3.19,F
14,2023-08-18,375.9,12.24,12.4,I
8,2023-06-30,295.11,34.32,9.44,C
5,2021-05-13,498.89,19.67,20.09,C
3,2022-01-23,381.15,31.56,15.98,I
12,2020-02-04,359.35,24.5,9.45,C
8,2021-12-27,393.71,49.3,6.18,IL
6,2022-04-28,88.7,,5.56,IL
11,2020-03-30,118.18,25.91,,C
3,2022-02-14,362.75,35.62,8.82,IL
1,2021-08-27,257.11,22.8,20.25,IL
3,2022-08-27,382.22,,,C
5,2022-10-18,69.4,37.48,,F
15,2021-02-21,277.51,34.56,,I
14,2020-04-24,201.83,39.07,12.99,IL
3,2021-09-08,239.36,47.87,28.77,F
1,2023-05-04,309.9,45.85,5.73,IL
5,2022-04-05,261.1,37.59,,IL
10,2023-01-03,279.13,38.71,20.44,I
7,2021-02-16,253.45,11.57,28.4,IL
15,2023-10-31,216.3,9.63,24.65,I
14,2023-12-14,390.5,30.69,4.14,I
7,2021-12-29,25.86,5.83,9.82,I
11,2023-07-24,307.25,26.71,28.05,F
9,2022-10-17,291.44,14.47,9.09,C
15,2022-01-30,363.77,20.57,23.87,F
15,2021-11-06,307.53,39.91,25.1,C
10,2023-11-18,416.86,47.36,15.87,C
10,2021-04-01,480.36,8.26,,I
12,2022-07-08,184.41,,,IL
13,2020-07-10,129.13,44.71,8.36,I
3,2022-01-08,223.33,8.71,26.9,IL
15,2023-01-27,158.21,42.1,14.62,C
16,2022-09-04,315.18,21.1,26.71,I
7,2022-10-05,457.69,19.49,4.96,IL
1,2020-04-05,86.78,,29.67,F
4,2021-10-24,68.38,14.04,14.41,IL
13,2023-04-28,142.89,36.19,3.34,I
16,2020-02-06,368.53,41.96,3.06,F
4,2023-10-24,304.62,6.85,22.89,IL
14,2020-10-05,69.06,35.17,20.45,IL
5,2020-08-04,461.0,47.82,24.46,IL
7,2022-05-16,399.24,10.59,4.95,IL
7,2022-05-22,31.05,45.33,3.0,IL
13,2023-07-20,332.66,,16.24,F
15,2020-03-02,390.2,32.75,12.85,C
11,2021-08-18,199.73,,,F
13,2021-12-29,53.08,18.45,29.76,F
4,2023-09-27,57.11,47.08,29.18,F
13,2021-01-31,70.04,47.63,28.38,C
16,2021-11-29,423.41,33.14,23.95,I
7,2022-11-08,457.13,40.25,11.94,C
11,2020-06-25,78.95,32.55,13.54,F
3,2021-01-30,133.23,26.8,17.39,IL
6,2021-03-20,99.45,34.74,25.25,IL
12,2023-06-10,109.43,29.89,3.92,F
2,2020-03-16,422.0,31.89,13.88,IL
10,2020-09-21,179.43,40.27,4.31,F
13,2021-03-30,169.49,26.64,16.41,IL
14,2021-12-18,129.15,6.83,27.17,C
9,2022-01-04,311.79,12.38,23.91,I
5,2023-11-08,202.07,24.74,,I
6,2022-04-30,377.24,37.62,29.33,C
12,2023-10-22,118.68,,20.69,C
12,2020-05-23,398.14,34.26,,F
12,2022-06-03,309.79,,9.15,F
12,2022-12-28,74.85,32.71,9.3,F
4,2023-01-27,218.96,19.81,3.94,IL
14,2021-01-30,434.49,26.16,28.88,F
14,2022-11-14,463.02,38.49,15.39,C
11,2022-08-05,243.54,44.23,27.08,I
16,2022-06-09,250.8,24.51,11.02,IL
10,2023-03-20,460.86,6.96,5.51,F
7,2023-03-13,301.79,12.28,15.28,IL
12,2021-07-22,35.77,5.94,5.19,IL
9,2022-11-28,458.12,34.4,15.61,F
7,2020-04-18,139.15,19.95,27.77,IL
14,2022-12-01,297.26,29.41,16.58,I
1,2023-04-24,99.45,27.2,,C
1,2022-07-23,36.26,8.67,6.39,C
9,2021-02-01,169.51,23.15,3.22,I
11,2023-05-31,394.64,,5.1,IL
14,2021-09-25,153.24,23.83,18.76,F
9,2023-03-02,125.65,14.16,4.66,IL
4,2023-04-01,122.09,42.82,12.53,I
13,2023-05-23,267.28,12.84,17.4,IL
9,2022-01-02,488.26,48.24,12.88,C
3,2020-08-22,240.31,23.72,6.58,IL
7,2021-10-19,287.51,43.08,9.67,I
6,2022-01-20,433.1,33.29,27.99,C
8,2021-08-10,276.83,38.09,20.93,IL
11,2022-10-29,108.54,39.55,15.89,IL
9,2023-01-02,163.81,27.72,2.36,C
14,2022-08-11,168.77,,29.79,F
5,2021-05-06,210.71,28.13,20.8,C
1,2022-07-01,224.86,31.46,10.87,F
3,2023-06-30,403.9,6.32,,I
10,2023-06-07,187.71,22.8,9.24,I
12,2023-04-12,244.75,32.28,17.23,C
8,2023-04-06,319.99,31.9,19.81,C
15,2020-06-18,201.31,40.68,8.19,I
11,2023-11-17,421.55,34.48,29.4,F
6,2022-08-03,301.98,49.65,22.95,I
16,2022-03-05,161.14,17.77,17.62,C
16,2021-09-25,362.75,21.16,7.06,I
8,2023-05-02,273.27,22.27,3.51,C
9,2020-01-29,276.54,25.96,10.96,C
4,2023-04-03,250.92,42.62,23.09,I
1,2023-12-16,258.57,15.61,9.54,F
14,2020-12-04,387.37,39.92,17.11,IL
1,2023-10-20,69.43,23.24,22.38,I
10,2023-09-27,180.49,32.08,5.02,IL
4,2021-05-14,56.24,33.46,21.19,I
12,2021-05-25,381.56,21.78,4.57,IL
14,2023-09-12,150.7,28.07,29.02,F
7,2020-08-04,450.77,23.59,15.68,F
2,2023-08-17,272.76,8.11,6.22,I
3,2023-03-01,404.36,24.67,11.59,C
1,2022-12-29,489.89,9.38,13.58,IL
5,2023-06-29,423.1,23.23,23.23,C
1,2023-12-09,436.16,31.68,22.82,C
8,2021-03-20,215.83,31.07,19.13,C
1,2022-05-25,284.83,34.82,4.97,F
11,2023-04-20,141.87,9.29,6.24,I
1,2020-06-15,114.13,34.35,4.63,I
2,2020-03-31,262.64,19.05,18.16,F
2,2021-12-14,305.62,22.96,26.56,F
12,2020-02-08,182.85,43.61,14.15,I
6,2023-02-23,293.33,5.41,,C
7,2020-06-21,445.98,31.48,17.63,IL
5,2021-10-14,287.23,31.94,,IL
16,2022-01-23,365.99,22.85,22.77,IL
1,2023-05-28,406.55,15.67,26.68,C
1,2022-12-17,494.59,15.56,9.78,I
3,2021-04-20,309.53,44.77,,F
14,2021-03-31,407.29,24.89,26.63,I
2,2022-04-08,482.07,19.89,20.41,C
5,2022-06-13,473.32,,10.71,F
12,2023-10-16,87.72,35.12,22.79,C
10,2022-10-21,215.07,11.56,24.82,IL
16,2021-01-21,175.52,25.22,19.22,IL
6,2020-12-13,61.72,31.45,21.26,C
16,2020-07-08,323.96,47.69,12.51,F
7,2021-05-19,373.23,16.36,,F
4,2023-04-29,427.1,21.17,16.68,I
7,2023-10-24,78.93,22.07,25.75,IL
11,2023-12-03,440.69,32.25,25.52,I
8,2022-04-03,328.6,21.05,25.32,I
11,2022-07-17,357.89,29.01,2.31,C
1,2022-07-22,457.1,40.18,22.99,C
15,2023-02-14,319.89,36.74,23.24,I
6,2020-05-13,181.22,25.09,20.99,IL
8,2020-02-27,416.05,43.89,23.18,C
5,2021-11-15,194.27,30.12,25.58,I
4,2021-11-02,36.43,29.3,15.17,I
2,2020-06-21,418.71,6.54,16.06,I
6,2022-03-25,185.69,49.4,5.49,I
6,2023-03-18,391.44,10.53,12.79,I
11,2020-03-20,194.12,15.4,,I
15,2022-06-04,433.31,7.33,23.85,C
16,2023-05-21,125.37,33.8,,IL
16,2020-07-21,487.78,15.11,5.86,I
1,2022-02-02,394.28,13.1,20.57,F
9,2023-06-06,74.83,8.99,2.05,C
12,2023-06-04,291.57,9.65,6.99,C
11,2023-11-26,492.98,31.31,2.81,I
6,2020-02-16,246.11,35.97,6.67,C
16,2023-06-10,107.41,22.88,7.08,I
13,2023-08-21,252.69,26.6,12.85,IL
3,2023-03-12,265.98,35.87,13.27,IL
4,2023-12-09,376.01,5.78,26.48,C
12,2023-10-28,355.45,19.54,16.28,C
11,2023-07-06,213.22,48.79,22.26,F
4,2021-10-17,124.65,31.11,4.92,C
3,2021-04-15,329.63,,8.31,F
10,2022-08-28,222.42,28.48,21.68,IL
3,2022-11-01,83.49,20.42,3.48,IL
15,2023-09-15,452.27,28.95,,I
3,2022-01-05,351.79,10.66,18.78,IL
4,2022-02-22,347.93,10.97,18.86,F
16,2022-08-25,414.84,,2.64,C
7,2020-12-23,274.24,47.29,11.02,I
4,2022-08-29,411.23,37.98,19.82,F
9,2023-12-02,259.08,12.31,,C
1,2021-10-29,52.24,13.48,21.47,I
8,2021-01-07,214.52,37.89,22.89,IL
16,2022-10-28,258.78,12.03,,F
7,2023-02-19,365.7,,7.88,C
2,2023-10-03,71.16,48.35,25.1,I
8,2021-11-06,87.21,,16.57,I
1,2020-03-30,146.57,34.77,12.46,IL
11,2021-11-28,147.92,49.04,5.43,C
12,2023-09-01,371.45,21.84,22.59,IL
9,2023-04-16,140.35,5.79,8.6,IL
9,2021-06-23,323.89,15.99,12.4,C
2,2022-01-01,257.25,42.39,3.75,C
7,2022-05-18,295.18,43.91,24.44,C
15,2020-02-10,422.29,39.58,23.46,F
14,2022-01-09,214.1,10.09,22.54,C
10,2021-05-16,390.04,40.8,10.38,I
3,2022-08-16,222.58,46.34,6.86,IL
7,2023-03-14,189.86,32.03,19.85,F
12,2023-05-09,480.14,,15.89,C
16,2022-07-17,108.5,42.21,6.99,F
10,2021-04-05,63.36,35.01,21.21,C
16,2022-01-01,390.07,30.97,,F
9,2022-01-21,52.76,20.69,22.92,IL
4,2022-07-13,421.8,12.17,22.72,IL
12,2022-06-27,229.85,32.22,28.61,I
1,2023-06-30,459.45,19.32,7.68,I
2,2021-01-24,366.34,43.99,17.84,C
1,2022-06-01,312.99,49.7,29.43,IL
16,2020-09-12,475.67,38.86,6.63,F
14,2021-12-09,210.39,9.07,21.61,F
12,2021-03-25,477.96,17.99,18.4,F
5,2020-01-10,84.8,9.91,18.42,I
5,2022-04-03,252.2,34.27,21.53,F
16,2022-03-08,149.56,39.43,28.03,I
11,2023-06-19,279.12,46.66,23.91,I
7,2023-06-28,97.77,24.72,3.57,C
9,2022-05-26,423.93,45.56,25.88,F
9,2022-10-25,426.28,44.51,8.32,F
3,2023-02-16,478.51,19.27,12.55,IL
3,2022-10-12,94.24,44.1,14.93,C
16,2021-01-08,319.2,21.91,15.47,IL
16,2022-12-24,247.63,18.36,14.19,C
3,2020-05-25,185.3,34.21,28.25,F
4,2020-08-11,188.74,19.78,21.77,I
8,2023-06-16,218.14,33.36,19.67,I
6,2020-06-25,358.36,32.44,3.4,I
8,2022-05-02,307.18,,,I
1,2023-07-29,240.65,22.12,27.46,I
8,2020-03-03,56.45,,,IL
4,2023-05-25,57.33,31.84,2.2,C
11,2022-04-06,21.12,29.56,3.6,F
1,2022-03-05,484.5,25.0,8.31,IL
8,2021-11-19,22.52,5.66,,C
4,2020-04-14,69.48,31.42,13.17,I
6,2023-01-27,171.01,12.58,,C
8,2021-05-25,407.57,33.92,15.22,C
4,2021-01-19,481.81,39.17,2.38,I
14,2021-02-08,399.21,27.52,9.92,I
3,2022-04-02,351.47,,,I
16,2021-06-01,270.22,47.82,3.02,F
14,2021-04-20,61.62,43.12,9.72,I
9,2021-12-09,479.92,46.14,,F
3,2022-02-09,384.03,41.62,24.04,I
9,2023-12-31,326.7,9.9,29.3,F
13,2022-11-12,384.34,11.7,12.39,C
2,2022-09-23,367.57,,14.01,IL
16,2021-11-07,325.87,16.07,25.65,C
14,2021-12-14,490.68,26.45,9.51,C
2,2020-03-23,453.61,22.75,6.38,I
2,2023-03-14,330.4,29.72,,F
6,2023-01-13,352.72,38.61,3.3,IL
3,2023-01-06,44.77,,19.35,I
16,2021-04-01,341.56,,17.74,I
13,2020-01-01,41.2,42.01,,I
9,2020-02-20,302.37,24.39,10.83,C
4,2021-11-15,499.69,45.35,23.61,F
1,2021-12-17,286.79,8.21,4.42,F
4,2021-03-24,247.14,47.96,8.63,IL
1,2022-05-30,170.17,34.46,,F
14,2021-05-02,77.85,22.1,17.35,F
5,2020-02-03,370.89,13.87,5.58,I
16,2023-10-03,112.45,26.56,26.7,I
4,2020-04-04,75.34,13.76,13.02,C
8,2022-12-31,222.45,12.48,25.18,I
16,2020-06-02,401.76,,24.06,I
8,2020-09-06,377.63,28.54,19.48,I
7,2021-11-04,46.34,,15.85,I
3,2021-03-13,238.47,46.83,29.43,C
1,2020-04-27,270.77,28.95,6.06,I
16,2022-02-09,329.38,31.14,22.3,IL
1,2023-08-22,332.08,9.03,7.35,IL
16,2020-09-24,195.05,37.29,11.47,IL
12,2022-12-13,289.13,23.0,10.64,IL
11,2020-08-23,250.91,48.95,28.52,I
3,2021-01-23,444.8,42.04,29.09,IL
6,2022-09-16,274.53,28.51,7.12,I
7,2022-02-01,231.7,10.55,2.62,C
6,2021-02-04,214.15,43.67,22.16,IL
14,2021-09-15,294.77,40.99,13.7,F
14,2022-02-05,405.91,13.31,4.49,IL
6,2023-08-19,278.43,,21.15,IL
6,2022-07-07,337.59,40.7,17.26,I
13,2023-05-15,374.17,,29.45,IL
3,2023-06-06,269.68,46.3,8.37,F
6,2022-05-02,224.87,24.1,13.31,I
8,2021-07-31,440.8,8.92,17.19,I
11,2020-03-15,220.4,,,C
11,2021-03-10,241.73,21.81,17.37,C
2,2020-04-12,495.36,28.69,19.16,IL
5,2023-12-16,20.11,10.05,8.33,C
14,2022-02-02,109.03,5.12,25.71,C
1,2022-01-07,204.3,,14.0,C
12,2022-03-16,467.64,28.18,,I
15,2023-08-22,53.61,31.71,20.6,I
16,2020-04-07,24.55,40.72,8.05,I
1,2022-03-08,45.29,34.1,4.73,C
5,2023-09-20,62.5,12.86,,I
12,2022-05-08,38.05,21.23,,C
13,2021-03-10,250.3,45.77,22.98,I
16,2021-03-22,298.76,39.65,10.14,I
3,2023-08-24,150.41,30.05,24.04,F
4,2020-09-05,211.18,,5.13,IL
3,2020-06-14,64.02,18.59,11.97,C
16,2022-09-10,181.46,37.94,29.39,F
1,2023-09-20,270.81,43.3,,I
16,2022-10-16,371.49,35.21,15.92,C
1,2021-06-25,21.61,41.43,11.51,I
12,2022-01-28,244.31,39.5,26.42,IL
12,2023-02-03,162.56,11.74,17.26,F
14,2020-03-21,429.35,24.08,,IL
13,2020-05-12,363.47,,23.12,F
14,2022-03-07,302.77,15.59,2.5,I
5,2022-06-18,153.09,44.12,5.54,IL
6,2020-05-17,456.96,,20.47,IL
3,2020-07-02,41.65,29.09,,I
12,2023-11-25,72.54,13.03,9.15,IL
9,2023-09-15,207.98,19.05,28.51,C
5,2022-02-23,79.73,15.36,17.69,F
8,2022-09-10,479.08,14.28,23.02,F
13,2020-03-09,403.03,33.71,17.62,F
1,2021-06-29,144.31,,17.47,C
14,2020-02-22,302.51,33.44,4.64,F
5,2020-07-23,491.52,7.63,11.62,I
15,2020-05-05,444.42,11.38,9.91,IL
3,2020-02-12,308.38,17.35,12.94,C
12,2020-04-20,453.79,31.87,24.35,F
1,2022-01-30,494.81,35.41,12.41,I
4,2023-04-21,376.81,24.92,14.65,IL
